X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id
315195,6764085,-0.0349641709908574,-0.0378450042183922,-0.115865601928582,-0.0811053024645258,0.716242125445084,0.798222686879247,0.776663146779303,0.786966762627584,0.474438293715402,0.434301521438451,-0.0779282651602804,-0.0842985349390197,"49"
315225,6764085,-0.035027133695116,-0.0384406493271378,-0.112970080639084,-0.0806773644901279,0.755980861244019,0.828004956629492,0.828374723383329,0.82991347342398,0.433021806853583,0.381993569131833,-0.0741174041703943,-0.0799937382592361,"50"
315255,6764085,-0.0368176047397376,-0.0393879624648855,-0.115112731602054,-0.0814056939501779,0.742066514343742,0.801788735798888,0.807877041306436,0.803507086235888,0.419993809965955,0.375079465988557,-0.0795001329433661,-0.0796707334999265,"51"
315285,6764085,-0.0376908396946564,-0.0386450381679389,-0.113008613008613,-0.0795354307556601,0.768658630418056,0.841121495327103,0.855926352128884,0.853963838664812,0.449400184558597,0.38949331675474,-0.0766165051879338,-0.077530564203812,"52"
315315,6764085,-0.0361488273673073,-0.0387403446226975,-0.113185185185185,-0.0772802156657181,0.676313571227873,0.812307692307692,0.826259617771159,0.841579332195954,0.48258064516129,0.432558139534884,-0.103933525430543,-0.100080415235032,"53"
315345,6764085,-0.0366782006920415,-0.0434529695771043,-0.117992602799333,-0.0834102800861804,0.756318169725991,0.849183726353978,0.823760432007855,0.821713147410359,0.429600523903078,0.390930155577623,-0.0568132028625675,-0.0552835255093982,"54"
315375,6764085,-0.0380697661184772,-0.0430219146482122,-0.118699885452463,-0.0804859529233106,0.805905006418485,0.861969111969112,0.864526787821572,0.860789980732177,0.449728260869565,0.378899404135997,-0.0510505296058343,-0.0410933432502789,"55"
315075,6764055,-0.038085742771685,-0.0380357474178984,-0.114996114996115,-0.0840329661865516,0.661419661419661,0.756399437412096,0.716778133178249,0.745840504876649,0.508604906627609,0.465277777777778,-0.0872306113473098,-0.0985748218527317,"56"
315105,6764055,-0.0390783530797932,-0.0369685767097966,-0.113216266173752,-0.0829342455340175,0.670267197271177,0.77492649024325,0.740060323553606,0.756550218340611,0.44302043643921,0.408727272727273,-0.0849899164505906,-0.0931356214595135,"57"
315135,6764055,-0.0412080880470949,-0.0372693726937269,-0.114430925612198,-0.0813111326812514,0.722431414739107,0.790928050052138,0.807381193124368,0.797057331303907,0.432467532467532,0.396782841823056,-0.0827110046498521,-0.0916372957385453,"58"
315165,6764055,-0.0389139139139139,-0.0387540305408529,-0.113889312395182,-0.0818473476087443,0.700334821428571,0.751539491298527,0.79012987012987,0.787190082644628,0.467847769028871,0.419986495611074,-0.0870740941049216,-0.0937333434858753,"59"
315195,6764055,-0.0360029390154299,-0.0401051939513478,-0.115068083196169,-0.0822647169103862,0.697680916457111,0.756698821007503,0.759224346889308,0.770456960680127,0.478489326765189,0.445685279187817,-0.0860040304231944,-0.0905253965943822,"60"
315225,6764055,-0.0375321967373972,-0.0393530997304582,-0.112403100775194,-0.0796420581655481,0.703864997278171,0.785585120123999,0.765389696169088,0.775091960063058,0.454485049833887,0.424904613250087,-0.0819781391628899,-0.0914511440709548,"61"
315255,6764055,-0.0409533603532756,-0.0428392184979387,-0.115441832787861,-0.0820745591189821,0.739267015706806,0.808051055473736,0.807008884501481,0.804592085979482,0.427040655531043,0.378678875081753,-0.0906469161696271,-0.0891233175700255,"62"
