"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"78";"blaesedalen_17";69,2995682;-53,4649303;2000;2020;20;"2000to2020";"ndvi.max";-0,00497;0,5754;-0,462;0,0064;-0,104;-18,1;"browning"
"79";"blaesedalen_18";69,2995526;-53,4641713;2000;2020;20;"2000to2020";"ndvi.max";-0,00253;0,5339;-0,298;0,0802;-0,053;-9,9;"browning"
"80";"blaesedalen_19";69,2995371;-53,4634123;2000;2020;20;"2000to2020";"ndvi.max";-0,00222;0,6588;-0,251;0,1417;-0,047;-7,1;"no_trend"
"81";"blaesedalen_2";69,3001673;-53,4678788;2000;2020;20;"2000to2020";"ndvi.max";-0,00001;0,7161;-0,006;1;0;0;"no_trend"
"82";"blaesedalen_20";69,2995216;-53,4626533;2000;2020;20;"2000to2020";"ndvi.max";-0,00153;0,6895;-0,146;0,4011;-0,032;-4,6;"no_trend"
"83";"blaesedalen_21";69,2995061;-53,4618943;2000;2020;20;"2000to2020";"ndvi.max";-0,00181;0,7259;-0,193;0,2629;-0,038;-5,2;"no_trend"
"84";"blaesedalen_22";69,2993927;-53,4695283;2000;2020;20;"2000to2020";"ndvi.max";0,00133;0,6684;0,111;0,5289;0,028;4,2;"no_trend"
"85";"blaesedalen_23";69,2993772;-53,4687693;2000;2020;19;"2000to2020";"ndvi.max";-0,00209;0,6088;-0,176;0,3247;-0,044;-7,2;"no_trend"
"86";"blaesedalen_24";69,2993617;-53,4680103;2000;2020;20;"2000to2020";"ndvi.max";0,00044;0,4944;0,041;0,8337;0,009;1,8;"no_trend"
"87";"blaesedalen_25";69,2993462;-53,4672512;2000;2020;20;"2000to2020";"ndvi.max";-0,00095;0,5951;-0,053;0,7796;-0,02;-3,4;"no_trend"
"88";"blaesedalen_26";69,2993307;-53,4664922;2000;2020;20;"2000to2020";"ndvi.max";-0,00078;0,6846;-0,111;0,5289;-0,016;-2,3;"no_trend"
"89";"blaesedalen_27";69,2993151;-53,4657332;2000;2020;19;"2000to2020";"ndvi.max";-0,00005;0,6088;-0,007;1;-0,001;-0,2;"no_trend"
"90";"blaesedalen_28";69,2992996;-53,4649742;2000;2020;20;"2000to2020";"ndvi.max";0,00248;0,7857;0,275;0,1075;0,052;6,6;"no_trend"
"91";"blaesedalen_29";69,2992841;-53,4642152;2000;2020;20;"2000to2020";"ndvi.max";0,00266;0,7189;0,24;0,1617;0,056;7,8;"no_trend"
"92";"blaesedalen_3";69,3001517;-53,4671197;2000;2020;20;"2000to2020";"ndvi.max";0,00072;0,8142;0,088;0,6243;0,015;1,8;"no_trend"
"93";"blaesedalen_30";69,2992686;-53,4634562;2000;2020;20;"2000to2020";"ndvi.max";-0,00091;0,7436;-0,135;0,4415;-0,019;-2,6;"no_trend"
"94";"blaesedalen_31";69,2992531;-53,4626972;2000;2020;20;"2000to2020";"ndvi.max";-0,00374;0,6015;-0,392;0,0209;-0,079;-13,1;"browning"
"95";"blaesedalen_32";69,2992375;-53,4619382;2000;2020;20;"2000to2020";"ndvi.max";-0,0021;0,7957;-0,228;0,1837;-0,044;-5,5;"no_trend"
"96";"blaesedalen_33";69,299222;-53,4611792;2000;2020;20;"2000to2020";"ndvi.max";-0,00122;0,9044;-0,228;0,1837;-0,026;-2,9;"no_trend"
"97";"blaesedalen_34";69,2991241;-53,4695721;2000;2020;19;"2000to2020";"ndvi.max";0,00031;0,6646;0,046;0,8202;0,007;1,1;"no_trend"
"98";"blaesedalen_35";69,2991086;-53,4688131;2000;2020;20;"2000to2020";"ndvi.max";0,00166;0,5975;0,216;0,2079;0,035;5,9;"no_trend"
"99";"blaesedalen_36";69,2990931;-53,4680541;2000;2020;20;"2000to2020";"ndvi.max";-0,00029;0,5482;-0,041;0,8337;-0,006;-1,1;"no_trend"
"100";"blaesedalen_37";69,2990776;-53,4672951;2000;2020;20;"2000to2020";"ndvi.max";0,00047;0,6262;0,041;0,8337;0,01;1,6;"no_trend"
"101";"blaesedalen_38";69,2990621;-53,4665361;2000;2020;20;"2000to2020";"ndvi.max";0,00128;0,5736;0,193;0,2629;0,027;4,7;"no_trend"
"102";"blaesedalen_39";69,2990466;-53,4657771;2000;2020;20;"2000to2020";"ndvi.max";-0,00188;0,6353;-0,228;0,1837;-0,039;-6,1;"no_trend"
