site,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
bl,240,-2015.2058538395813,1011.6029269197907,0.00505325929931586,2087.1825231157663,0,72.06005153912474,0
kh,240,-4587.3881329412025,2297.6940664706012,0.0011912518208868723,728.7772136805813,0,49.06826996795371,2.4720225866303736e-12
kl,240,-2207.6393714113724,1107.8196857056862,0.002022012232421609,3838.678536391067,0,90.20589604606039,0
bl,250,-1997.3746417531966,1002.6873208765983,0.005166737874241456,1205.4318901976449,0,54.228839452739976,1.7841284005726266e-13
kh,250,-4571.988869103796,2289.994434551898,0.001207679608259248,334.46044838074863,0,33.66900613054713,6.533339758085788e-9
kl,250,-2190.15238794136,1099.07619397068,0.002077473608642256,2680.083675951845,0,72.71891257604784,0
bl,260,-1986.3388885639688,997.1694442819844,0.005238694022182148,792.5150750985339,0,43.193086263512214,4.959566091145007e-11
kh,260,-4557.8712985123575,2282.9356492561787,0.001223301194476317,100.78613473949991,0,19.551435539108752,9.792712290512817e-6
kl,260,-2173.2423811574868,1090.6211905787434,0.0021328470817838004,1700.6941627359477,0,55.808905792174755,7.982503547054876e-14
bl,270,-1975.1693640872018,991.5846820436009,0.005313228578277947,452.4401224637099,0,32.02356178674518,1.523139347980873e-8
kh,270,-4547.718683297058,2277.859341648529,0.001235045246576967,21.694016029287255,3.1978727040860022e-6,9.39882032380956,0.0021712510096560944
kl,270,-2158.3818339468835,1083.1909169734417,0.002183117126827791,995.2488103582893,0,40.94835858157148,1.5630519101250684e-10
bl,280,-1967.5870780304394,987.7935390152197,0.005364900762656295,281.48873417212263,0,24.441275729982863,7.660963954325695e-7
kh,280,-4541.705416031076,2274.852708015538,0.001242294145338291,3.5518566608097113,0.059478861943543904,3.3855530578275648,0.06577011010508782
kl,280,-2145.669662895919,1076.8348314479595,0.0022275727633753193,524.6807863346594,0,28.236187530606912,1.0737814437611348e-7
bl,290,-1959.7749191118287,983.8874595559143,0.005419542656696785,142.92658525333349,0,16.629116811372114,4.5447935645981374e-5
kh,290,-4538.9714448582035,2273.4857224291018,0.0012456658573997879,0.3909645608166347,0.5317928229855347,0.6515818849547941,0.4195476815901955
kl,290,-2134.9814366717483,1071.4907183358741,0.002266362886173963,235.24296283908433,0,17.547961306436264,2.801509922345513e-5
bl,300,-1952.4451825149117,980.2225912574559,0.005472807085195972,52.69547808685104,3.894662370385049e-13,9.299380214455141,0.0022923139615326216
kh,300,-4538.359777697749,2273.1798888488747,0.001246433487043685,0.015093569402148585,0.9022212165983872,0.039914724500704324,0.8416474054419931
kl,300,-2126.7433345480113,1067.3716672740056,0.0022977137924961918,84.28545094034672,0,9.309859182699256,0.0022792399940162467
bl,310,-1948.8789015377333,978.4394507688667,0.005499693694562367,25.35642109898867,4.765633893066834e-7,5.733099237276747,0.016648076436147186
kh,310,-4539.494597527657,2273.7472987638284,0.0012449599293487253,0.32096670206373423,0.5710272708125989,1.1747345544081327,0.2784305483767048
kl,310,-2121.6231753514885,1064.8115876757442,0.0023185471402900728,25.04808820550884,5.591816999439558e-7,4.1896999861764925,0.04067029404427547
bl,320,-1945.3878945496153,976.6939472748077,0.0055277341057880505,6.356452227045752,0.011695517257571786,2.242092249158759,0.13429915198685838
kh,320,-4542.1735615021735,2275.0867807510867,0.0012413406449222006,0.8290595654030231,0.36254460648639786,3.853698528924724,0.049636422122194435
kl,320,-2118.690405007833,1063.3452025039164,0.0023317622610149152,4.772864821494805,0.02891167750863166,1.256929642520845,0.2622330684924945
bl,330,-1944.7087515408039,976.3543757704019,0.005533224053428365,4.425174890700101,0.035412483863690225,1.5629492403472796,0.21123391675156167
kh,330,-4542.980889915016,2275.490444957508,0.0012398684151521623,1.0778632490027134,0.2991760539724704,4.661026941766977,0.030854731924892187
kl,330,-2117.61242606218,1062.80621303109,0.002337421799328774,0.45817952022384417,0.4984760079898415,0.17895069686801435,0.6722765500458314
bl,340,-1944.1038417372893,976.0519208686446,0.005538395457861474,2.6414270653013765,0.1041099883503247,0.9580394368326779,0.3276813350541623
kh,340,-4541.722894352977,2274.8614471764886,0.001241164799352946,1.031973791659479,0.3096955312397176,3.403031379728418,0.06507672173841117
kl,340,-2117.4984859206315,1062.7492429603158,0.0023380356418354954,0.10738839146578291,0.7431372325696802,0.0650105553195317,0.7987449760170175
bl,350,-1943.6063532177077,975.8031766088538,0.005543009686979612,1.177491741274132,0.2778672193150036,0.46055091725111197,0.4973666137913568
kh,350,-4538.892943141656,2273.446471570828,0.0012454377370496247,0.41052078732365516,0.5217052925936356,0.5730801684076141,0.4490375290377291
kl,350,-2118.3542400202714,1063.1771200101357,0.002328598319734713,0.9201660237890716,0.33743138361868485,0.9207646549593846,0.3372742789198214
bl,360,-1943.5885137921873,975.7942568960937,0.005543093200329956,1.213264464402023,0.27068656544385106,0.44271149173073354,0.5058166288790082
kh,360,-4538.319865557001,2273.1599327785007,0.0012464843851424639,4.027777780702024e-6,0.9983987006740541,2.5837525754468516e-6,0.9987174764876261
kl,360,-2119.3435948718534,1063.6717974359267,0.0023107156954398664,1.401864468805238,0.2364116471230019,1.9101195065413776,0.16694998428508578
bl,370,-1943.1786610975787,975.5893305487893,0.005547507811009672,0.06966652212319864,0.7918229433840634,0.03285879712211681,0.8561556866093027
kh,370,-4538.460364134119,2273.2301820670596,0.0012462278123855485,0.3225681077595825,0.5700683783024059,0.14050116087037168,0.7077832980682461
kl,370,-2120.907446132524,1064.453723066262,0.002257896163564912,1.8249664412445723,0.17672324316980015,3.473970767211995,0.06234149280705992
