"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"84","kluane_high_28",60.9632967,-138.419283,2001,2020,19,"2000to2020","ndvi.max",0.00125,0.6148,0.085,0.6494,0.026,4.2,"no_trend"
"85","kluane_high_29",60.9633108,-138.41873,2001,2020,17,"2000to2020","ndvi.max",-0.00226,0.4273,-0.167,0.3923,-0.047,-11,"no_trend"
"86","kluane_high_3",60.9641174,-138.4188166,2000,2020,21,"2000to2020","ndvi.max",0.00142,0.5124,0.137,0.4173,0.03,5.9,"no_trend"
"87","kluane_high_30",60.9633248,-138.4181769,2001,2020,18,"2000to2020","ndvi.max",0.00365,0.4912,0.25,0.174,0.077,15.7,"no_trend"
"88","kluane_high_31",60.9633389,-138.4176239,2001,2020,18,"2000to2020","ndvi.max",0.00043,0.598,0.059,0.7731,0.009,1.5,"no_trend"
"89","kluane_high_32",60.9633529,-138.4170708,2000,2020,21,"2000to2020","ndvi.max",0.00215,0.6041,0.179,0.2843,0.045,7.4,"no_trend"
"90","kluane_high_33",60.9633669,-138.4165178,2000,2020,20,"2000to2020","ndvi.max",0.00249,0.6894,0.17,0.3273,0.052,7.5,"no_trend"
"91","kluane_high_34",60.963381,-138.4159647,2000,2020,21,"2000to2020","ndvi.max",0.00083,0.6175,0.095,0.5813,0.017,2.8,"no_trend"
"92","kluane_high_35",60.963395,-138.4154117,2000,2020,21,"2000to2020","ndvi.max",0.00158,0.5831,0.095,0.5813,0.033,5.7,"no_trend"
"93","kluane_high_36",60.963409,-138.4148586,2001,2020,20,"2000to2020","ndvi.max",-0.00175,0.4846,-0.123,0.4841,-0.037,-7.6,"no_trend"
"94","kluane_high_37",60.9634231,-138.4143056,2001,2020,20,"2000to2020","ndvi.max",-0.00123,0.5552,-0.099,0.5756,-0.026,-4.7,"no_trend"
"95","kluane_high_38",60.9634371,-138.4137525,2001,2020,20,"2000to2020","ndvi.max",0.00034,0.5478,0.029,0.8887,0.007,1.3,"no_trend"
"96","kluane_high_39",60.9634511,-138.4131995,2000,2020,21,"2000to2020","ndvi.max",0.00109,0.5162,0.074,0.6732,0.023,4.5,"no_trend"
"97","kluane_high_4",60.9641314,-138.4182636,2000,2020,21,"2000to2020","ndvi.max",0.00154,0.6141,0.168,0.3145,0.032,5.2,"no_trend"
"98","kluane_high_40",60.9634651,-138.4126464,2000,2020,21,"2000to2020","ndvi.max",0.00087,0.6697,0.105,0.5376,0.018,2.7,"no_trend"
"99","kluane_high_41",60.9630138,-138.4198072,2000,2020,21,"2000to2020","ndvi.max",0.00391,0.5827,0.337,0.041,0.082,14.1,"greening"
"100","kluane_high_42",60.9630279,-138.4192541,2000,2020,21,"2000to2020","ndvi.max",0.00249,0.7009,0.284,0.0855,0.052,7.4,"greening"
"101","kluane_high_43",60.9630419,-138.4187011,2001,2020,20,"2000to2020","ndvi.max",0.0017,0.6366,0.123,0.4841,0.036,5.7,"no_trend"
"102","kluane_high_44",60.963056,-138.4181481,2001,2020,19,"2000to2020","ndvi.max",0.00236,0.6107,0.176,0.3247,0.05,8.2,"no_trend"
"103","kluane_high_45",60.96307,-138.417595,2000,2020,21,"2000to2020","ndvi.max",0.00244,0.5513,0.211,0.2058,0.051,9.3,"no_trend"
"104","kluane_high_46",60.963084,-138.417042,2000,2020,21,"2000to2020","ndvi.max",0.00236,0.5139,0.211,0.2058,0.05,9.7,"no_trend"
"105","kluane_high_47",60.9630981,-138.4164889,2001,2020,20,"2000to2020","ndvi.max",0.00251,0.6458,0.158,0.363,0.053,8.2,"no_trend"
"106","kluane_high_48",60.9631121,-138.4159359,2000,2020,21,"2000to2020","ndvi.max",0.00185,0.6011,0.232,0.163,0.039,6.5,"no_trend"
"107","kluane_high_49",60.9631261,-138.4153828,2000,2020,21,"2000to2020","ndvi.max",0.00127,0.6166,0.126,0.4555,0.027,4.4,"no_trend"
"108","kluane_high_5",60.9641454,-138.4177105,2000,2020,21,"2000to2020","ndvi.max",0.00299,0.5352,0.221,0.1834,0.063,11.8,"no_trend"
"109","kluane_high_50",60.9631402,-138.4148298,2000,2020,21,"2000to2020","ndvi.max",-0.00036,0.7296,-0.021,0.9225,-0.008,-1.1,"no_trend"
"110","kluane_high_51",60.9631542,-138.4142767,2000,2020,21,"2000to2020","ndvi.max",5e-05,0.599,0.011,0.9741,0.001,0.2,"no_trend"
"111","kluane_high_52",60.9631682,-138.4137237,2000,2020,21,"2000to2020","ndvi.max",0.00037,0.63,0.032,0.8711,0.008,1.3,"no_trend"
"112","kluane_high_53",60.9631822,-138.4131706,2000,2020,21,"2000to2020","ndvi.max",0.00108,0.6521,0.084,0.6265,0.023,3.5,"no_trend"
"113","kluane_high_54",60.9631963,-138.4126176,2000,2020,21,"2000to2020","ndvi.max",0.00049,0.6733,0.021,0.9225,0.01,1.5,"no_trend"
"114","kluane_high_55",60.9632103,-138.4120645,2000,2020,21,"2000to2020","ndvi.max",-0.001,0.6186,-0.105,0.5376,-0.021,-3.4,"no_trend"
"115","kluane_high_56",60.9627309,-138.4203313,2001,2020,20,"2000to2020","ndvi.max",0.00391,0.5251,0.263,0.1237,0.082,15.6,"no_trend"
"116","kluane_high_57",60.962745,-138.4197783,2001,2020,20,"2000to2020","ndvi.max",0.00479,0.4753,0.392,0.0209,0.101,21.2,"greening"
"117","kluane_high_58",60.962759,-138.4192253,2000,2020,21,"2000to2020","ndvi.max",0.00428,0.4994,0.379,0.0212,0.09,18,"greening"
"118","kluane_high_59",60.9627731,-138.4186722,2000,2020,21,"2000to2020","ndvi.max",0.00139,0.6296,0.158,0.3468,0.029,4.6,"no_trend"
"119","kluane_high_6",60.9641595,-138.4171575,2001,2020,20,"2000to2020","ndvi.max",0.00311,0.5322,0.181,0.2939,0.065,12.2,"no_trend"
"120","kluane_high_60",60.9627871,-138.4181192,2000,2020,21,"2000to2020","ndvi.max",0.00276,0.5292,0.263,0.1119,0.058,11,"no_trend"
"121","kluane_high_61",60.9628012,-138.4175661,2000,2020,21,"2000to2020","ndvi.max",0.00473,0.5043,0.368,0.0252,0.099,19.6,"greening"
