"";"id";"geometry";"ndvi.max";"ndvi.max.doy";"ndvi.pred.doy";"ndvi.max.date"
"868";868;c(639445, 7691575);0,428469391365923;228;177;1970-08-16
"869";869;c(639455, 7691575);0,473646390448444;228;177;1970-08-16
"870";870;c(639465, 7691575);0,509196047791125;227;177;1970-08-15
"871";871;c(639475, 7691575);0,547641679871424;227;177;1970-08-15
"872";872;c(639485, 7691575);0,55636426489257;229;177;1970-08-17
"873";873;c(639495, 7691575);0,523402884287002;228;177;1970-08-16
"874";874;c(639505, 7691575);0,494099808938545;228;177;1970-08-16
"875";875;c(639515, 7691575);0,468525165432784;227;177;1970-08-15
"876";876;c(639175, 7691565);0,311515761758118;228;177;1970-08-16
"877";877;c(639185, 7691565);0,302133278295587;230;177;1970-08-18
"878";878;c(639195, 7691565);0,319589327013751;228;177;1970-08-16
"879";879;c(639205, 7691565);0,361697312370973;225;177;1970-08-13
"880";880;c(639215, 7691565);0,412521232685717;229;177;1970-08-17
"881";881;c(639225, 7691565);0,444961274856147;231;177;1970-08-19
"882";882;c(639235, 7691565);0,43695656867563;231;177;1970-08-19
"883";883;c(639245, 7691565);0,387111332032954;229;177;1970-08-17
"884";884;c(639255, 7691565);0,35644739944579;227;177;1970-08-15
"885";885;c(639265, 7691565);0,350782935671986;226;177;1970-08-14
"886";886;c(639275, 7691565);0,35510730450492;227;177;1970-08-15
"887";887;c(639285, 7691565);0,325137481047249;226;177;1970-08-14
"888";888;c(639295, 7691565);0,325192358927351;226;177;1970-08-14
"889";889;c(639305, 7691565);0,386404336549619;225;177;1970-08-13
"890";890;c(639315, 7691565);0,447573261049782;227;177;1970-08-15
"891";891;c(639325, 7691565);0,460958937356832;227;177;1970-08-15
"892";892;c(639335, 7691565);0,452035689010676;226;177;1970-08-14
"893";893;c(639345, 7691565);0,459392007533257;224;177;1970-08-12
"894";894;c(639355, 7691565);0,458280608894112;226;177;1970-08-14
"895";895;c(639365, 7691565);0,415775559692682;226;177;1970-08-14
"896";896;c(639375, 7691565);0,40412440656016;226;177;1970-08-14
"897";897;c(639385, 7691565);0,421726783954912;230;177;1970-08-18
"898";898;c(639395, 7691565);0,430057828814021;230;177;1970-08-18
"899";899;c(639405, 7691565);0,438479983441273;227;177;1970-08-15
"900";900;c(639415, 7691565);0,418445706505286;224;177;1970-08-12
"901";901;c(639425, 7691565);0,386688155145786;224;177;1970-08-12
"902";902;c(639435, 7691565);0,372350771130377;226;177;1970-08-14
"903";903;c(639445, 7691565);0,329737742148572;227;177;1970-08-15
"904";904;c(639455, 7691565);0,347736100814369;224;177;1970-08-12
"905";905;c(639465, 7691565);0,434587235583668;223;177;1970-08-11
"906";906;c(639475, 7691565);0,524504298645815;227;177;1970-08-15
