"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"120","kluane_low_71",60.9679937,-138.4147961,2000,2020,21,"2000to2020","ndvi.max",0.00105,0.7516,0.084,0.6265,0.022,2.9,"no_trend"
"121","kluane_low_73",60.9680217,-138.4136898,2000,2020,21,"2000to2020","ndvi.max",0.00067,0.5483,0.116,0.4957,0.014,2.6,"no_trend"
"122","kluane_low_74",60.9680358,-138.4131367,2000,2020,21,"2000to2020","ndvi.max",0.00149,0.5071,0.137,0.4173,0.031,6.1,"no_trend"
"123","kluane_low_75",60.9680498,-138.4125836,2001,2020,19,"2000to2020","ndvi.max",0.00225,0.598,0.203,0.2558,0.047,7.9,"no_trend"
"124","kluane_low_76",60.9680638,-138.4120304,2000,2020,21,"2000to2020","ndvi.max",-0.00012,0.665,-0.042,0.8203,-0.003,-0.5,"no_trend"
"125","kluane_low_77",60.9680778,-138.4114773,2000,2020,21,"2000to2020","ndvi.max",-0.00048,0.6738,-0.095,0.5813,-0.01,-1.5,"no_trend"
"126","kluane_low_78",60.9680918,-138.4109241,2000,2020,21,"2000to2020","ndvi.max",-0.00022,0.5844,-0.042,0.8203,-0.005,-0.9,"no_trend"
"127","kluane_low_79",60.9676547,-138.4175329,2000,2020,21,"2000to2020","ndvi.max",0.00056,0.8614,0.063,0.7212,0.012,1.4,"no_trend"
"128","kluane_low_8",60.969366,-138.4138341,2000,2020,21,"2000to2020","ndvi.max",0.00064,0.7491,0.095,0.5813,0.013,1.7,"no_trend"
"129","kluane_low_80",60.9676687,-138.4169797,2000,2020,20,"2000to2020","ndvi.max",-0.0011,0.7099,-0.088,0.6243,-0.023,-3.2,"no_trend"
"130","kluane_low_81",60.9676827,-138.4164266,2000,2020,20,"2000to2020","ndvi.max",0.00042,0.6161,0.064,0.7264,0.009,1.5,"no_trend"
"131","kluane_low_82",60.9676968,-138.4158735,2000,2020,21,"2000to2020","ndvi.max",0.00049,0.6193,0.084,0.6265,0.01,1.6,"no_trend"
