X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id,2022-10-07,2022-10-10,2022-12-13
315235,6764205,-0.0140540540540541,-0.0162247724574594,-0.0815514955910322,-0.0598451067824454,0.517582961862308,0.609291244788565,0.579759333539031,0.585253456221198,0.275073746312684,0.237257059039237,-0.0297029702970297,-0.0312997347480106,"19",0,0,0
315245,6764205,-0.0108138873079112,-0.0147469111199681,-0.08455690325576,-0.0593180756655768,0.520693603795191,0.610219845513963,0.594172105023524,0.612750885478158,0.289119913963076,0.228121567191505,-0.0296743063932449,-0.0365591397849462,"20",0,0,0
315255,6764205,-0.0103696098562628,-0.0138394622380388,-0.0865216885684382,-0.0547076778586523,0.503896103896104,0.595502293238645,0.588119412032126,0.592835820895522,0.285466527922303,0.229666786098173,-0.0425909494232476,-0.0437743190661479,"21",0,0,0
315265,6764205,-0.0103271983640082,-0.0141176470588235,-0.0867642836635085,-0.0577883472057075,0.509117314829756,0.557674561673331,0.591016548463357,0.574821852731591,0.271098863244919,0.22813156053184,-0.0384937238493724,-0.0515370705244123,"22",0,0,0
315275,6764205,-0.0128583579326562,-0.0179267342166797,-0.0824389129938342,-0.0650943396226415,0.508019691916786,0.529855436832181,0.581900452488688,0.574239713774597,0.262899262899263,0.226415094339623,-0.0371935756551141,-0.0436347278452542,"23",0,0,0
315285,6764205,-0.0151650312221231,-0.0154679040989946,-0.0812985099994335,-0.0617977528089888,0.504645946811919,0.503399158303658,0.57593984962406,0.567851252061778,0.262717770034843,0.23905489923558,-0.0442122186495177,-0.0437062937062937,"24",0,0,0
315295,6764205,-0.011028871133768,-0.0131680867544539,-0.0853907134767837,-0.0645388406477353,0.535141800246609,0.558034368405185,0.604203152364273,0.585774668415683,0.266934942991281,0.229146060006594,-0.0388978930307942,-0.0361655773420479,"25",0,0,0
315305,6764205,-0.00820348526770545,-0.0177606177606178,-0.0858048449173647,-0.0698002350176263,0.528598365807668,0.553313673754462,0.583183183183183,0.579970544918999,0.26406627545737,0.23055934515689,-0.0380679492427343,-0.0417582417582418,"26",0,0,0
315315,6764205,-0.0118534482758621,-0.0177606177606178,-0.0841556084836112,-0.0658570761326483,0.525937749401437,0.58655462184874,0.58065503520049,0.577754269306332,0.261862917398946,0.217481789802289,-0.0287992910943731,-0.0183529411764706,"27",0,0,0
315325,6764205,-0.011007371007371,-0.0184615384615385,-0.0873873873873874,-0.0634809088779574,0.547545059042884,0.597610156833458,0.600716204118174,0.596901534336362,0.270629370629371,0.21786941580756,-0.0326228795128317,-0.0387307512832478,"28",0,0,0
315335,6764205,-0.01003861003861,-0.0191277735271614,-0.0878614641727258,-0.0621252098824658,0.556227327690447,0.591954898674387,0.606772733907459,0.601876282615069,0.255399382927665,0.209395973154362,-0.0395622895622896,-0.030166591625394,"29",0,0,0
315345,6764205,-0.00836880110946392,-0.0191657271702368,-0.0865432166602561,-0.058300395256917,0.537791601866252,0.561071195297191,0.572303921568627,0.563798676312144,0.25422559503277,0.215834767641997,-0.0228744065602072,-0.0340386384544618,"30",0,0,0
315355,6764205,-0.00579751808729816,-0.0202702702702703,-0.0901926444833625,-0.0785015509424958,0.495902982628646,0.52286282306163,0.533150508146475,0.524730143386499,0.254296737986671,0.230134158926729,-0.0424548129466162,-0.0250990752972259,"31",0,0,0
315365,6764205,-0.00698215671062839,-0.0159453302961276,-0.0864676231097325,-0.0760791795850227,0.464710957722174,0.507438016528926,0.501214013180715,0.5,0.261194029850746,0.230883998508019,-0.0460992907801418,-0.0415094339622641,"32",0,0,0
315375,6764205,-0.0125897511556998,-0.0171690194582221,-0.0834682597286584,-0.07485979029505,0.448663853727145,0.492128678986995,0.471280770602925,0.485970046479601,0.268047222759822,0.240898528272657,-0.0435547734271887,-0.0345033073118408,"33",0,0,0
315385,6764205,-0.012002400480096,-0.018042226487524,-0.0875188980346044,-0.0725983867025177,0.452660677263303,0.477627471383975,0.478382147838215,0.482688391038697,0.258555133079848,0.252289109682447,-0.0424136423261915,-0.0434372049102927,"34",0,0,0
315395,6764205,-0.00924158714213963,-0.0156128024980484,-0.0869048293041952,-0.0715824754608571,0.503337783711616,0.539149888143177,0.531513313110886,0.527417746759721,0.247670807453416,0.223095051060487,-0.0167828556674413,-0.0411073241983724,"35",0,0,0
315055,6764195,-0.0131187197618162,-0.0221565731166913,-0.0878696956708101,-0.0467571644042232,0.497679216090768,0.506040268456376,0.535785953177258,0.535513709943839,0.24593837535014,0.227596550431196,0.0174627632254751,-0.00865914458147468,"36",0,0,0
315065,6764195,-0.00935014188026236,-0.0193452380952381,-0.0836928386540121,-0.0653502585801598,0.465681859124482,0.50060396893874,0.512212389380531,0.523743016759777,0.246650906225374,0.213572854291417,-0.0189319016671376,0.0230360307147076,"37",0,0,0
315075,6764195,-0.00983358547655068,-0.0167847817978366,-0.0828300258843831,-0.0631704410011919,0.485792536802465,0.510747185261003,0.519737976210998,0.525165226232842,0.245481927710843,0.191358024691358,0.00847906730259671,-0.0312759479656795,"38",0,0,0
