X,Y,2023-04-06,2023-05-01,2023-05-16,2023-05-22,2023-06-08,2023-06-26,2023-07-08,2023-07-26,2023-07-29,2023-08-07,2023-08-08,2023-08-17,2023-09-23,2023-10-03,2023-10-11,2023-10-17,id,2023-11-26,2023-11-28,2022-12-11
639505,7691785,-0.00723096554657592,-0.039258932509925,-0.0357439733998337,-0.0279283034597749,-0.0116279069767442,-0.105191873589165,0.277021617293835,0.39633129516398,0.421164772727273,0.454797367509525,0.449110320284697,0.475138121546961,0.112633832976445,0.247544869624111,-0.0163694111898363,-0.00153295861011753,"64",0,0,0
639195,7691775,-0.0166741775574583,-0.0406091370558376,-0.0465116279069767,-0.0278951817413356,-0.0103250478011472,-0.0992858788297627,0.2435318275154,0.36496488897324,0.382994186046512,0.404066543438078,0.427567067530065,0.439683111271156,0.272210376687989,0.223377554679096,-0.0081374321880651,-0.00183992640294388,"65",0,0,0
639205,7691775,-0.0218181818181818,-0.034804753820034,-0.0418803418803419,-0.0292598967297762,-0.00811123986095017,-0.103254507141185,0.224664462166894,0.356675644478646,0.38219507680918,0.417204301075269,0.421531463229719,0.445868945868946,0.25623418865197,0.227272727272727,-0.0196257416704701,-0.00793041698644155,"66",0,0,0
639215,7691775,-0.021759697256386,-0.0427574171029668,-0.0409872190392243,-0.0403190075321223,-0.00859375,-0.101048617731173,0.193663366336634,0.308245243128964,0.32289156626506,0.401611047180667,0.354838709677419,0.421934501142422,0.227003553099092,0.206810631229236,-0.0348776678813118,-0.0168213457076566,"67",0,0,0
639225,7691775,-0.0193548387096774,-0.0362551629187701,-0.0443840579710145,-0.0353159851301115,-0.00840336134453781,-0.0967741935483871,0.152642706131078,0.218422252621979,0.248440524844052,0.309168443496802,0.275270758122744,0.330396475770925,0.184632272228321,0.143259746359793,-0.0552596537949401,-0.0303214069132808,"68",0,0,0
639235,7691775,-0.0165889061689995,-0.0352278064819164,-0.041195110909914,-0.0292230933713471,-0.00765820233776703,-0.1,0.151895991332611,0.223648029330889,0.232547799021787,0.253904506916555,0.257976298997265,0.284320399364647,0.154796674904516,0.116908212560386,-0.054176072234763,-0.042262472195742,"69",0,0,0
639245,7691775,-0.0206185567010309,-0.0433179723502304,-0.0352622061482821,-0.0252641249425815,-0.00689655172413793,-0.100121802679659,0.114928425357873,0.227927927927928,0.230494872938029,0.252039891205802,0.273618538324421,0.281934306569343,0.169605922055302,0.138047138047138,-0.0551540509699506,-0.0396877033181522,"70",0,0,0
639255,7691775,-0.0200702458605118,-0.0384789497510186,-0.0363391655450875,-0.0361990950226244,-0.0101010101010101,-0.101068999028183,0.138025953598112,0.23455684870188,0.25155004428698,0.269729610903495,0.288465795882223,0.302095066456409,0.175517167839625,0.137282229965157,-0.0508236943568174,-0.0395444479595065,"71",0,0,0
639265,7691775,-0.0230505149583129,-0.0382902938557435,-0.0431338028169014,-0.0316822846943329,-0.0109356014580802,-0.0999277630628461,0.143312101910828,0.216840199185152,0.227758007117438,0.278019113814075,0.264705882352941,0.292469352014011,0.173469387755102,0.126696832579186,-0.0447072396884915,-0.0296545398960563,"72",0,0,0
639275,7691775,-0.0229226361031519,-0.0419006479481641,-0.035946297098311,-0.0293855743544078,-0.0108827085852479,-0.099404052443385,0.114424635332253,0.222021660649819,0.235685752330226,0.252481657315494,0.288150415391342,0.285240097366674,0.142240448953162,0.121338912133891,-0.0453701247015123,-0.0284605433376455,"73",0,0,0
639285,7691775,-0.012267151294866,-0.0439425051334702,-0.0319059613769941,-0.0133104336625161,-0.0104166666666667,-0.0914313068453806,0.0321951219512195,0.214126061689763,0.223687150837989,0.263516389953172,0.281000646970024,0.307561597281223,0.135135135135135,0.132703553756185,-0.0583097867968148,-0.0177552314521243,"74",0,0,0
639295,7691775,-0.0145772594752187,-0.0426614481409002,-0.0234592445328032,-0.0164203612479475,-0.0117924528301887,-0.0725274725274725,-0.0502383571690502,0.153811045184847,0.178397521027003,0.243027888446215,0.216216216216216,0.26487845766974,0.13884430176565,0.12907321201862,-0.0143396226415094,-0.0312419313193907,"75",0,0,0
639305,7691775,-0.0195777351247601,-0.0481565086531226,-0.0332187857961054,-0.0251215559157212,-0.0155763239875389,-0.0990196078431373,-0.0836953373877787,0.152436298614215,0.18117854001759,0.227895392278954,0.209100758396533,0.257326374949819,0.135473766640564,0.160047188360204,-0.00147797812592374,-0.0101851851851852,"76",0,0,0
639315,7691775,-0.0124633431085044,-0.0532801739760783,-0.0326797385620915,-0.023293829178586,-0.0173544157346703,-0.0879541108986616,-0.0485327313769752,0.136260751471254,0.167785234899329,0.204688154039347,0.21917211328976,0.244243421052632,0.155151993683379,0.151857835218094,0.0438670019558536,-0.019047619047619,"77",0,0,0
639325,7691775,-0.00367647058823529,-0.0505124450951684,-0.0294906166219839,-0.0242914979757085,-0.00876858558902021,-0.0944863875543354,-0.0183327568315462,0.158620689655172,0.180463196514561,0.21950198786357,0.226516950982509,0.23765690376569,0.148443735035914,0.122457451224575,-0.00352319436288902,0.0182157870154134,"78",0,0,0
639335,7691775,-0.0132061628760088,-0.0527870062753784,-0.0343231777863479,-0.0275526742301459,-0.0135236664162284,-0.0912335489627482,-0.00354609929078014,0.189214104632404,0.191103041307308,0.21865020225676,0.258613532586135,0.260434056761269,0.1868214152003,0.16031746031746,0.0212355212355212,-0.00215982721382289,"79",0,0,0
639345,7691775,-0.0136481003319808,-0.0501845018450185,-0.03828125,-0.0187924830067973,-0.0134529147982063,-0.10019995556543,-0.0163253190857821,0.185011709601874,0.200907029478458,0.249048625792812,0.259228187919463,0.269985540177649,0.212993724621632,0.164869029275809,0.0050251256281407,0.0158601057340382,"80",0,0,0
639355,7691775,-0.00984848484848485,-0.0508221225710015,-0.0283687943262411,-0.0232558139534884,-0.0130743369443407,-0.0979175897208684,0.0155781905332534,0.168954093705632,0.192902638762511,0.2375,0.241813602015113,0.275195392842452,0.184708554125662,0.151253918495298,-0.00561447286338116,0.0109519797809604,"81",0,0,0
639365,7691775,-0.0118910625239739,-0.0521904761904762,-0.0353034510115034,-0.0170316301703163,-0.0151860288534548,-0.0967305524239008,-0.0441375575412943,0.19046495161671,0.207282913165266,0.256695508858673,0.270488322717622,0.292006525285481,0.19707467282525,0.167615947925142,0.0359116022099447,0.0113835376532399,"82",0,0,0
639375,7691775,-0.0132225160559124,-0.0432074737251849,-0.0393638170974155,-0.0235008103727715,-0.0091254752851711,-0.106344547301874,-0.0334458422829089,0.149951314508277,0.16952380952381,0.236731255265375,0.238793103448276,0.288358700123406,0.166139240506329,0.139564660691421,-0.0187997107736804,-0.0179972311952007,"83",0,0,0
639385,7691775,-0.00809418690213392,-0.0429821224800304,-0.0363924050632911,-0.0293290478103656,-0.00946611132146914,-0.0944,0.021745981720769,0.144259077526987,0.153263954588458,0.192024273948851,0.244998924499892,0.240938166311301,0.166261151662612,0.142736128759,-0.0186061179438663,0.0160680529300567,"84",0,0,0
639395,7691775,-0.00825852782764811,-0.0399379604497867,-0.027027027027027,-0.0165354330708661,-0.00924214417744917,-0.0690316395014382,0.0257370145063173,0.166265060240964,0.148616971401782,0.204226870821652,0.244694673018623,0.269255524565544,0.173428798727128,0.1441743503772,0.004982953055337,0.0330788804071247,"85",0,0,0
639405,7691775,-0.011938202247191,-0.0452342487883683,-0.0278732340588011,-0.0151574038087835,-0.0130718954248366,-0.0931926651595077,-0.017628759073626,0.149447381066795,0.142988084326306,0.201527365294866,0.225694444444444,0.25954525954526,0.146360759493671,0.1267252195734,0.00925449871465296,-0.0318840579710145,"86",0,0,0
639415,7691775,-0.0102880658436214,-0.0470435908502374,-0.0274809160305344,-0.0238374364986323,-0.0101229211858279,-0.0886752136752137,-0.0649651972157773,0.184981684981685,0.192390834414181,0.190123456790123,0.270959902794654,0.238339751818571,0.17741935483871,0.143305850019631,0.04,0.0106830689543542,"87",0,0,0
639425,7691775,-0.00720906282183316,-0.0436662343277129,-0.0339565051507058,-0.0225856697819315,-0.00578452639190166,-0.0387464387464387,0.0380100614868642,0.302461410095953,0.313974591651543,0.278120184899846,0.373168851195066,0.342728518301037,0.227665706051873,0.203444564047363,0.0263000597728631,0.0419834710743802,"88",0,0,0
639435,7691775,-0.00804477089891571,-0.0305862361937128,-0.0285255122539172,-0.00986193293885602,-0.0087463556851312,-0.0397779833487512,0.184621545855026,0.340637046053966,0.354195188734598,0.364705882352941,0.398902969547948,0.390497401633259,0.260458839406208,0.247311827956989,0.00404040404040404,0.0213523131672598,"89",0,0,0
639445,7691775,-0.00322696306920043,-0.026598226784881,-0.0352459016393443,-0.0130486358244365,-0.00839109813936519,-0.0695652173913043,0.197663971248877,0.364639775235802,0.381479324403029,0.396849212303076,0.440209267563528,0.430281051677244,0.25405763497847,0.266689968542468,0.0179434092477571,0.0274963820549928,"90",0,0,0
