"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"125";"blaesedalen_6";69,2998987;-53,4679226;2000;2020;19;"2000to2020";"ndvi.max";0,00183;0,737;0,203;0,2558;0,038;5,2;"no_trend"
"126";"blaesedalen_60";69,2985251;-53,4666238;2000;2020;17;"2000to2020";"ndvi.max";0,00054;0,6833;0,083;0,6853;0,011;1,6;"no_trend"
"127";"blaesedalen_61";69,2985096;-53,4658648;2000;2020;18;"2000to2020";"ndvi.max";0,00027;0,7576;0,029;0,9016;0,006;0,8;"no_trend"
"128";"blaesedalen_62";69,2984941;-53,4651058;2000;2020;20;"2000to2020";"ndvi.max";0,00011;0,837;0,006;1;0,002;0,2;"no_trend"
"129";"blaesedalen_63";69,2984785;-53,4643468;2000;2020;20;"2000to2020";"ndvi.max";0,00026;0,7656;0,018;0,9442;0,005;0,7;"no_trend"
"130";"blaesedalen_64";69,298463;-53,4635878;2000;2020;20;"2000to2020";"ndvi.max";0,00041;0,7367;0,029;0,8887;0,009;1,2;"no_trend"
"131";"blaesedalen_65";69,2984475;-53,4628288;2000;2020;20;"2000to2020";"ndvi.max";-0,00044;0,7175;-0,041;0,8337;-0,009;-1,3;"no_trend"
"132";"blaesedalen_66";69,298432;-53,4620699;2000;2020;20;"2000to2020";"ndvi.max";-0,0014;0,5548;-0,158;0,363;-0,029;-5,2;"no_trend"
"133";"blaesedalen_67";69,2983186;-53,4697035;2000;2020;20;"2000to2020";"ndvi.max";-0,00123;0,9118;-0,205;0,2342;-0,026;-2,9;"no_trend"
"134";"blaesedalen_68";69,2983031;-53,4689445;2000;2020;20;"2000to2020";"ndvi.max";-0,00022;0,8625;-0,029;0,8887;-0,005;-0,6;"no_trend"
"135";"blaesedalen_69";69,2982876;-53,4681855;2000;2020;19;"2000to2020";"ndvi.max";-0,0009;0,8129;-0,046;0,8202;-0,019;-2,3;"no_trend"
"136";"blaesedalen_7";69,2998832;-53,4671636;2000;2020;20;"2000to2020";"ndvi.max";0,00071;0,7267;0,076;0,6746;0,015;2,1;"no_trend"
"137";"blaesedalen_70";69,2982721;-53,4674266;2000;2020;19;"2000to2020";"ndvi.max";-0,00104;0,8886;-0,072;0,7049;-0,022;-2,5;"no_trend"
"138";"blaesedalen_71";69,2982566;-53,4666676;2000;2020;19;"2000to2020";"ndvi.max";-0,0008;0,7985;-0,072;0,7049;-0,017;-2,1;"no_trend"
"139";"blaesedalen_72";69,298241;-53,4659086;2000;2020;20;"2000to2020";"ndvi.max";-0,0009;0,8648;-0,088;0,6243;-0,019;-2,2;"no_trend"
"140";"blaesedalen_73";69,2982255;-53,4651496;2000;2020;20;"2000to2020";"ndvi.max";-0,00078;0,7651;-0,076;0,6746;-0,016;-2,1;"no_trend"
"141";"blaesedalen_74";69,29821;-53,4643907;2000;2020;20;"2000to2020";"ndvi.max";0,00048;0,8304;0,064;0,7264;0,01;1,2;"no_trend"
"142";"blaesedalen_75";69,2981945;-53,4636317;2000;2020;19;"2000to2020";"ndvi.max";0,00023;0,9617;0,033;0,8796;0,005;0,5;"no_trend"
"143";"blaesedalen_76";69,298179;-53,4628727;2000;2020;20;"2000to2020";"ndvi.max";0,0011;0,7865;0,123;0,4841;0,023;2,9;"no_trend"
"144";"blaesedalen_77";69,2981634;-53,4621138;2000;2020;20;"2000to2020";"ndvi.max";-0,00015;0,7714;-0,006;1;-0,003;-0,4;"no_trend"
"145";"blaesedalen_78";69,29805;-53,4697473;2000;2020;20;"2000to2020";"ndvi.max";-0,00195;0,6963;-0,251;0,1417;-0,041;-5,9;"no_trend"
"146";"blaesedalen_79";69,2980345;-53,4689883;2000;2020;20;"2000to2020";"ndvi.max";-0,00157;0,8129;-0,193;0,2629;-0,033;-4,1;"no_trend"
"147";"blaesedalen_8";69,2998677;-53,4664045;2000;2020;19;"2000to2020";"ndvi.max";-0,00265;0,666;-0,255;0,1501;-0,056;-8,4;"no_trend"
"148";"blaesedalen_80";69,298019;-53,4682294;2000;2020;20;"2000to2020";"ndvi.max";0,00007;0,7376;0,006;1;0,001;0,1;"no_trend"
"149";"blaesedalen_81";69,2980035;-53,4674704;2000;2020;20;"2000to2020";"ndvi.max";-0,00122;0,8316;-0,123;0,4841;-0,026;-3,1;"no_trend"
"150";"blaesedalen_82";69,297988;-53,4667114;2000;2020;19;"2000to2020";"ndvi.max";-0,00236;0,8331;-0,216;0,2255;-0,05;-6;"no_trend"
"151";"blaesedalen_83";69,2979725;-53,4659525;2000;2020;19;"2000to2020";"ndvi.max";-0,00353;0,7588;-0,216;0,2255;-0,074;-9,8;"no_trend"
"152";"blaesedalen_84";69,297957;-53,4651935;2000;2020;19;"2000to2020";"ndvi.max";-0,00205;0,7804;-0,163;0,3633;-0,043;-5,5;"no_trend"
"153";"blaesedalen_85";69,2979415;-53,4644345;2000;2020;19;"2000to2020";"ndvi.max";-0,00165;0,6718;-0,124;0,4954;-0,035;-5,2;"no_trend"
"154";"blaesedalen_86";69,297926;-53,4636756;2000;2020;19;"2000to2020";"ndvi.max";-0,00066;0,8427;-0,033;0,8796;-0,014;-1,7;"no_trend"
"155";"blaesedalen_87";69,2979104;-53,4629166;2000;2020;20;"2000to2020";"ndvi.max";0,0011;0,8393;0,111;0,5289;0,023;2,7;"no_trend"
"156";"blaesedalen_88";69,2978949;-53,4621576;2000;2020;20;"2000to2020";"ndvi.max";-0,00013;0,791;-0,018;0,9442;-0,003;-0,4;"no_trend"
"157";"blaesedalen_89";69,2977815;-53,4697911;2000;2020;18;"2000to2020";"ndvi.max";-0,0012;0,7986;-0,103;0,5923;-0,025;-3,1;"no_trend"
"158";"blaesedalen_9";69,2998522;-53,4656455;2000;2020;20;"2000to2020";"ndvi.max";-0,00126;0,7312;-0,146;0,4011;-0,026;-3,6;"no_trend"
"159";"blaesedalen_90";69,297766;-53,4690321;2000;2020;20;"2000to2020";"ndvi.max";-0,00007;0,7675;-0,006;1;-0,001;-0,1;"no_trend"
"160";"blaesedalen_91";69,2977505;-53,4682732;2000;2020;20;"2000to2020";"ndvi.max";-0,00299;0,7529;-0,216;0,2079;-0,063;-8,4;"no_trend"
"161";"blaesedalen_92";69,297735;-53,4675142;2000;2020;20;"2000to2020";"ndvi.max";-0,00265;0,7099;-0,251;0,1417;-0,056;-7,9;"no_trend"
"162";"blaesedalen_93";69,2977195;-53,4667553;2000;2020;20;"2000to2020";"ndvi.max";-0,00047;0,6609;-0,006;1;-0,01;-1,5;"no_trend"
"163";"blaesedalen_94";69,297704;-53,4659963;2000;2020;20;"2000to2020";"ndvi.max";-0,00063;0,7927;-0,064;0,7264;-0,013;-1,6;"no_trend"
"164";"blaesedalen_95";69,2976885;-53,4652374;2000;2020;20;"2000to2020";"ndvi.max";0,00002;0,8158;0,006;1;0;0;"no_trend"
"165";"blaesedalen_96";69,297673;-53,4644784;2000;2020;19;"2000to2020";"ndvi.max";-0,00281;0,6481;-0,294;0,0956;-0,059;-9,1;"browning"
"166";"blaesedalen_97";69,2976574;-53,4637194;2000;2020;19;"2000to2020";"ndvi.max";-0,00117;0,6325;-0,15;0,4047;-0,025;-4;"no_trend"
"167";"blaesedalen_98";69,2976419;-53,4629605;2000;2020;19;"2000to2020";"ndvi.max";0,00083;0,7675;0,059;0,7619;0,017;2,2;"no_trend"
"168";"blaesedalen_99";69,297513;-53,4698349;2000;2020;20;"2000to2020";"ndvi.max";-0,00234;0,6735;-0,263;0,1237;-0,049;-7,3;"no_trend"
